Coluna;Mês
Ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
1993;6904044,36363583;12374315,6363612;14084120,3636333;18191701,0909092;19683950,9090912;34768308,3636296;36762632,3636439;51210466,1818166;62664888,7272557;100853270,181833;134644768,727273;337490690,545367;829633157,454448
1994;201078863;339704505;448567065;761225692;1132237896;1691919302;2007486288;2089391423;2182465816;2249726459;2312460644;4185269012;19601532965
1995;2216617798;2544360186;2364690816;2278476863;2400072018;3146889491;3303705847;3197444039;3167125058;3231183095;3420469688;6081607754;37352642653
1996;3196080352;3282027103;3232429451;3402489032;3390089682;3732947840;3711565302;3764410333;3963772312;3905310143;3962833870;7300549477;46844504897
1997;3625955556;3780019848;3938972347;3973640950;4019588487;4107964584;4219013216;4215926825;4277872885;4264323827;4424634506;8647685682;53495598713
1998;4169041967;4401001391;4439538424;4427526167;4470482325;4710889490;4732777112;4917871911;4849307881;5041811778;4834089078;9698502379;60692839903
1999;4828945614;4799734448;4977772766;4899231137;4996171740;5050024801;5214377884;5079328978,00939;5248967007,63153;5210409071,46861;5312961981,06946;9770459830,70502;65388385258,884
2000;6992790000;4856233000;5380790000;5252061000;5601471000;5710172000;5807505000;5879880000;5921704000;6007926000;6019205000;10810592000;74240329000
2001;7106620956,99804;5935274938,66137;5942512129,57967;6025434672,38016;6472761119,28015;6567971443,93077;6793350207,8999;6790603986,98987;6686551739,19015;6675346785,96001;6888076191;13322359986;85206864157,8701
2002;6872048728;6824159342;7032882071;7049557747;7443916981;7530934726;7922981275;7863456759;7841304937;7995428883;8077789957;15665154963;98119616369
2003;7948096516,954;7894278813;7981156701;8062461288;8718966246;8910910453;9691768215;9558134331;9736677444;9733654022;9748487041;21251170126;119235761196,954
2004;9719865247,19782;9741849292,17074;9889293194,83995;9869819331,26105;10243912875,8385;10761947054,9903;11074668289,9501;11188792308,2278;10494677724,667;11621403609,0198;11237147991,1322;21423154622,6238;137266531541,919
2005;11273305795,607;11187359260,0781;11410628967,5125;11498599852,3013;11657703393,0683;12782616352,2716;12584931036,9214;12694678165,6008;12797086316,9391;12979003302,0474;12968829373,2313;25354797386,316;159189539201,895
2006;12967991838,1503;12778567303,6013;13052073696,73;13090019088,4269;14330354944,4496;14511997512,9178;14569609567,348;14697630920,9177;19313198678,4211;16015109887,7408;15018586697,2397;21511638095,3192;181856778231,263
2007;14592196841,7604;15246370663,6841;14841432332,6019;14340941970,0489;15900148678,1936;16051616916,7071;15921475484,1607;15908648030,4479;22398668095,8234;16079772233,8867;16193379523,7574;23034751180,9118;200509401951,984
2008;14135271890,7989;13337680182,1416;19775184811,6475;16875878214,1172;16803603380,5666;17160001318,8221;16646195484,3602;27070653196,0577;16058989166,5597;17887866204,8608;21883532951,7837;23645136320,0439;221279993121,76
2009;17677081159,1112;19011904669,6393;19351355901,7725;19309815502,238;19381640741,0806;19383478550,0694;20033139738,928;16494059340,2874;30607130364,8166;19939907699,8866;28876882693,9189;19915223358,9687;249981619720,717
2010;21866842914,2467;21778157914,1889;21515490498,7453;21780394385,1107;22008728012,1127;22202092713,3611;23237887077,8555;31186400466,7669;21792795019,3525;22446651544,7246;32081873802,2922;20623984470,2381;282521298818,995
2011;26666795289,3121;23927734846,8874;23961746060,1993;24020628260,9062;24217927876,3846;24437030704,6433;24578858935,1683;34631476222,8819;24537479698,909;24744353298,731;35630523084,8741;21842253156,1504;313196807435,048
2012;30874689777,5049;27112484341,6017;27340679237,6711;27514950022,4935;27739029891,1772;27452918575,8219;27858069086,2091;39007171003,9007;27735009833,9125;28353738159,2656;39993199550,0604;23860844346,9162;354842783826,535
2013;38098400519,789;31400044179,9861;27581255278,8289;30439787710,7075;32717312470,9106;29419638996,6262;30511679048,7323;45474563292,37;31025507208,6156;31208591453,0135;44830298638,3906;25334390960,7195;398041469758,69
2014;40400255542,0769;33421640797,032;33414018859,8658;33864023827,7256;34140211454,7373;34205665240,4326;34110199317,6995;47976485010,3136;34476132541,5218;34445738049,6387;48905570285,0802;35140721432,3817;444500662358,505
2015;38839211601,2882;36829672907,8918;37882246091,0176;37876229745,0023;38826722424,3714;38229714840,3866;37674573912,1104;37125641654,6941;52785587659,3551;38149509062,4264;54013041459,9735;38301530062,9236;486533681421,441
2016;37724049586;37934139976;38721455418;38615160535;40005165967;38800533949;38604420178;57253648508;38766017336;38868320544;57496065593;36489177304;499278154894
2017;49790276000;47139546000;47387536000;48212447000;47802267000;48192277000;47497981000;67473788000;48111842000;48761394000;68918919000;47125769000;616414042000
2018;50777343000;49348505000;50009799000;50283072000;50172704000;50329590000;50164222000;70524190000;50012700000;55273813000;67306927000;48889727000;643092592000
2019;53868422000;52858168000;52135290000;53047874000;52818772000;53044880000;53291165000;76468732000;53305226000;53677191000;77217389000;51959897000;683693006000
2020;57175620481,4801;56590218069,4896;55927537588,7796;80214051230,2402;79882403769,5796;55700010143,1104;55545261981,1406;55747119666,67;55912648985,2002;55980506990,0599;57745544456,8798;56676305328,7697;723097228691,4
2021;59012022472,36;59190342094,2299;60131633409,0297;59391973693,8002;85839922879,5798;85305780017,1001;59862575678,23;59202630576,4598;59870096776,7198;59801278016,0498;60250593721,3501;59906830838,6301;767765680173,539
2022;65653370160,8201;66542092053,1998;66928290507,14;94199749710,5901;94901364590,8001;67917783750,3501;68359754545,33;67678994515,7198;67196720312,9001;68002207940,9101;68977011206,5502;68730393558,26;865087732852,57
2023;72241822321,2901;72188641771,84;72992894926,7;72794585773,8896;103940737796,99;104995751192,19;74319681083,3302;74779088710,6601;75499273186,7801;75636176679,8303;76754206061,13;74600149440,4204;950743008945,051
Total;770519014835,109;742234287213,96;750003237672,025;803390298103,33;871996075592,03;822080717268,095;769887641424,738;915992050642,157;806635200875,042;784288506010,702;951435174815,441;851437516763,844;9839899721216,47
